Topic,BM25,JM_LM,MY_PRM
R101,0.43974180581323435,0.804112554112554,0.8386904761904761
R102,0.7391822372764881,0.7014824766514469,0.5545156432185595
R103,0.3581676729274138,0.24228592863375,0.2477145648280863
R104,0.8882732000313384,0.6379551449146824,0.5280967408464645
R105,0.8117570782842124,0.6098968852705267,0.5301620188337869
R106,0.6777777777777778,0.3317550505050505,0.34200581395348834
R107,0.4201388888888889,0.32083333333333336,0.05214646464646464
R108,0.1799043062200957,0.19266381766381765,0.09045584045584044
R109,0.7242655453496415,0.656323224421927,0.4480152088414894
R110,0.13625371360665478,0.7061302681992337,0.6566233766233766
R111,0.15048840048840048,0.10056022408963584,0.07651821862348178
R112,0.627020202020202,0.9583333333333334,0.8888888888888888
R113,0.5624594326978103,0.5277799001140455,0.37049031906875035
R114,0.805194805194805,0.9428571428571428,0.33276397515527945
R115,0.4685714285714286,0.1884920634920635,0.11499999999999999
R116,0.5157339762910877,0.24272173353970794,0.21993797445510532
R117,0.7916666666666666,0.5444444444444444,0.4935897435897436
R118,0.5277777777777778,0.4797979797979797,0.41421568627450983
R119,0.20491452991452994,0.1757878151260504,0.1443007972419737
R120,0.22798531271073072,0.3190678911731543,0.28148392843160286
R121,0.5581025304796944,0.623484171255785,0.5584480526444813
R122,0.5230333115764084,0.6781356678324642,0.3152294224124106
R123,0.22690217391304346,0.4551282051282051,0.06770025839793281
R124,0.31212121212121213,0.36921296296296297,0.22375541125541124
R125,0.6287781084656084,0.43876035306338407,0.3559286838892102
R126,0.5546789215211195,0.5757578949888646,0.7979786835703017
R127,0.27296703296703295,0.275974025974026,0.13061823099145614
R128,0.3996732026143791,0.1845238095238095,0.1416857448107448
R129,0.5220563508000013,0.4021706643102789,0.0
R130,1.0,0.7555555555555555,0.20128205128205132
R131,0.18437499999999998,0.2400691699604743,0.13332336523125995
R132,0.4592279188098004,0.21453464671498512,0.18644051578502796
R133,0.28296703296703296,0.41351981351981343,0.12805171530977982
R134,0.2526613965744401,0.32660624265378085,0.2627902774012831
R135,0.3825613838021262,0.5172015317224488,0.8471755901103728
R136,0.3964432728219493,0.48354256854256855,0.17251097554406378
R137,0.43333333333333335,1.0,0.4166666666666667
R138,0.499295839637307,0.3338957060761572,0.05916912801906498
R139,0.5317460317460317,0.5666666666666667,0.17539682539682536
R140,0.34160865793992734,0.2259166872102031,0.1781860008818896
R141,0.6174236453627423,0.614460595158424,0.38074641998635844
R142,0.22566526610644258,0.20625,0.34290382819794585
R143,0.11255675219089854,0.12064393939393939,0.08540491854636592
R144,0.16628238910847606,0.24613216895825593,0.15802372382832153
R145,0.24157125651183375,0.050664093200578374,0.07646642793563285
R146,0.5430096854093509,0.3481407880304314,0.29932832149297117
R147,0.38824166030048374,0.0848852405456179,0.12455637564358225
R148,0.4671221913191727,0.39247406103603105,0.5223879968443372
R149,0.2542857142857143,0.25142857142857145,0.19833333333333333
R150,0.37087912087912084,0.306547619047619,0.38514492753623186
MAP,0.44813690304147735,0.42771129264271546,0.3110249910622537
