Topic,BM25,JM_LM,MY_PRM
R101,0.5,0.5,0.5
R102,0.5,0.6,0.5
R103,0.2,0.3,0.4
R104,0.8,1.0,1.0
R105,0.9,0.7,0.9
R106,0.3,0.3,0.2
R107,0.2,0.2,0.2
R108,0.1,0.1,0.2
R109,0.6,0.6,0.4
R110,0.4,0.1,0.4
R111,0.0,0.0,0.0
R112,0.6,0.6,0.6
R113,0.8,0.7,0.7
R114,0.5,0.5,0.5
R115,0.2,0.1,0.1
R116,0.5,0.3,0.3
R117,0.3,0.3,0.3
R118,0.3,0.3,0.3
R119,0.0,0.2,0.1
R120,0.3,0.3,0.5
R121,0.5,0.7,0.6
R122,0.4,0.5,0.4
R123,0.2,0.1,0.2
R124,0.2,0.4,0.3
R125,0.7,0.6,0.7
R126,0.5,0.5,0.5
R127,0.3,0.3,0.5
R128,0.1,0.1,0.1
R129,0.7,0.7,0.7
R130,0.3,0.3,0.3
R131,0.1,0.2,0.2
R132,0.4,0.4,0.3
R133,0.4,0.4,0.3
R134,0.2,0.2,0.1
R135,0.3,0.5,0.2
R136,0.3,0.3,0.4
R137,0.3,0.3,0.3
R138,0.3,0.4,0.3
R139,0.3,0.2,0.3
R140,0.5,0.5,0.7
R141,0.6,0.6,1.0
R142,0.1,0.1,0.2
R143,0.2,0.2,0.1
R144,0.2,0.2,0.2
R145,0.1,0.1,0.0
R146,0.1,0.1,0.1
R147,0.4,0.3,0.5
R148,0.3,0.3,0.1
R149,0.3,0.3,0.2
R150,0.2,0.2,0.3
P@10,0.3500000000000001,0.35400000000000004,0.36400000000000005
